ID_Intervento,Azienda,Città,Macchinario,Tipo_Macchinario,Tipo_Intervento,Priorità,Data_Intervento,Tecnico,Durata_Ore,Stato,Costo_Euro,Età_Macchinario_Anni,Ore_Utilizzo_Totali,Mesi_Senza_Intervento,Interventi_Ultimi_12_Mesi,Esito_Intervento
INT-0125,Elcon Srl,Piacenza,Cinghia trapezoidale SKF,Trasmissione,Guasto Urgente,Alta,2022-11-12,Ansaloni,9.8,Completato,2052.88,8.7,13048,0,5,Completato
INT-0126,Carpigiani SpA,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Media,2022-06-01,Ansaloni,10.0,Parziale,738.77,8.8,15695,5,8,Parziale
INT-0127,IMA Industries,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Correttiva,Bassa,2024-01-24,Bernardini,9.0,Parziale,1999.71,2.2,4159,13,8,Parziale
INT-0128,Cefla Srl,Imola,Refrigeratore Clivet WSAN,Refrigerazione,Ispezione Periodica,Alta,2024-03-01,Ansaloni,10.5,Completato,1931.63,6.5,9839,5,7,Completato
INT-0129,Aeroquip Srl,Ferrara,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Media,2023-05-07,Ansaloni,4.8,Completato,2619.67,3.7,5544,9,4,Completato
INT-0130,Aeroquip Srl,Ferrara,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Preventiva,Alta,2022-12-21,Monti,11.2,Completato,1864.24,10.8,17220,11,2,Completato
INT-0131,Bonfiglioli SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Manutenzione Correttiva,Media,2023-11-17,Monti,11.0,Completato,693.83,11.2,21237,4,1,Completato
INT-0132,Datalogic SpA,Bologna,Compressore Atlas Copco GA55,Compressore,Ispezione Periodica,Alta,2024-06-18,Ferretti,6.2,Completato,1849.47,1.7,3350,0,8,Completato
INT-0133,Marposs SpA,Bologna,Pannello PLC Siemens S7,Quadro Elettrico,Guasto Urgente,Bassa,2022-02-07,Monti,12.0,Parziale,1159.83,8.0,11457,1,2,Parziale
INT-0134,Bonfiglioli SpA,Bologna,Refrigeratore Clivet WSAN,Refrigerazione,Guasto Urgente,Media,2022-05-18,Ferretti,10.4,Completato,1353.02,3.9,7030,10,4,Completato
INT-0135,SCM Group,Rimini,Compressore Boge C15,Compressore,Manutenzione Correttiva,Media,2022-06-29,Ferretti,7.7,Completato,1817.33,8.0,15348,0,5,Completato
INT-0136,Elcon Srl,Piacenza,Pompa Lowara FC,Pompa,Manutenzione Preventiva,Media,2022-10-01,Ansaloni,11.5,Completato,901.29,2.6,3485,10,3,Completato
INT-0137,Carpigiani SpA,Bologna,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Bassa,2024-02-28,Monti,4.4,Parziale,399.37,8.2,13656,5,6,Parziale
INT-0138,Marposs SpA,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Correttiva,Bassa,2024-04-01,Monti,8.3,Completato,674.08,6.0,9929,11,6,Completato
INT-0139,Datalogic SpA,Bologna,Riduttore Bonfiglioli VF,Trasmissione,Ispezione Periodica,Alta,2022-06-18,Ansaloni,4.6,Completato,1495.33,1.4,2469,1,8,Completato
INT-0140,IMA Industries,Bologna,Gruppo Frigo Daikin EWAD,Refrigerazione,Guasto Urgente,Alta,2024-04-06,Bernardini,4.4,Completato,139.22,9.8,16203,16,6,Completato
INT-0141,Aeroquip Srl,Ferrara,Compressore Kaeser SK25,Compressore,Ispezione Periodica,Alta,2022-02-02,Ferretti,4.2,Parziale,569.55,5.4,10262,17,0,Parziale
INT-0142,Marchesini Group,Bologna,Pompa Lowara FC,Pompa,Manutenzione Preventiva,Bassa,2022-05-17,Ansaloni,8.2,Parziale,1025.93,5.7,12067,12,6,Parziale
INT-0143,Coesia SpA,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Alta,2024-04-23,Ansaloni,3.5,Completato,1332.9,10.1,19757,9,7,Completato
INT-0144,Marchesini Group,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Alta,2023-09-05,Ferretti,8.4,Completato,2452.42,0.9,1674,0,3,Completato
INT-0145,Datalogic SpA,Bologna,Compressore Ingersoll R55,Compressore,Ispezione Periodica,Alta,2023-08-13,Ferretti,4.5,Recidiva,1706.34,9.2,18179,4,8,Recidiva
INT-0146,Tecnoinox Srl,Reggio Emilia,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Correttiva,Media,2022-12-19,Bernardini,11.4,Completato,1906.05,5.3,7818,17,2,Completato
INT-0147,Cefla Srl,Imola,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Correttiva,Alta,2024-04-05,Monti,6.1,Completato,236.74,4.8,9381,15,3,Completato
INT-0148,Rollon SpA,Milano,Pompa KSB Etanorm,Pompa,Manutenzione Preventiva,Media,2022-10-02,Ansaloni,5.1,Completato,1725.52,2.8,5170,14,5,Completato
INT-0149,Fluid System Srl,Modena,Compressore Kaeser SK25,Compressore,Ispezione Periodica,Alta,2024-01-30,Bernardini,2.3,Parziale,2798.84,6.0,12416,10,4,Parziale
INT-0150,Bonfiglioli SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Guasto Urgente,Media,2023-06-10,Bernardini,10.7,Completato,1347.53,6.8,13433,12,7,Completato
INT-0151,Bonfiglioli SpA,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Bassa,2023-03-04,Monti,4.2,Completato,613.64,1.0,2064,4,0,Completato
INT-0152,Datalogic SpA,Bologna,Pompa KSB Etanorm,Pompa,Manutenzione Preventiva,Media,2024-01-08,Ansaloni,7.0,Completato,580.61,3.5,7075,15,7,Completato
INT-0153,Samp SpA,Bologna,Compressore Atlas Copco GA55,Compressore,Guasto Urgente,Media,2022-06-04,Ferretti,1.1,Completato,1455.59,11.4,21297,0,6,Completato
INT-0154,Frigomec Srl,Modena,Compressore Ingersoll R55,Compressore,Guasto Urgente,Media,2022-01-18,Ferretti,6.5,Recidiva,1978.18,0.6,1050,0,0,Recidiva
INT-0155,Rollon SpA,Milano,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Preventiva,Media,2023-02-20,Bernardini,6.0,Completato,741.53,3.3,6005,8,5,Completato
INT-0156,Datalogic SpA,Bologna,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Preventiva,Alta,2023-05-27,Monti,10.3,Completato,1834.15,1.6,2526,17,7,Completato
INT-0157,Tecnoinox Srl,Reggio Emilia,Riduttore Bonfiglioli VF,Trasmissione,Manutenzione Preventiva,Bassa,2022-10-15,Ferretti,10.9,Completato,1612.75,3.1,6513,18,7,Completato
INT-0158,Fluid System Srl,Modena,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Preventiva,Media,2024-05-19,Bernardini,5.3,Completato,2518.55,7.3,14251,12,1,Completato
INT-0159,Tecnoinox Srl,Reggio Emilia,Pompa KSB Etanorm,Pompa,Guasto Urgente,Bassa,2024-02-27,Ansaloni,7.8,Completato,1700.06,6.3,13698,1,1,Completato
INT-0160,Tecnoinox Srl,Reggio Emilia,Compressore Boge C15,Compressore,Manutenzione Preventiva,Media,2024-03-01,Ferretti,7.8,Completato,2250.71,6.1,9490,12,6,Completato
INT-0161,Termomeccanica Srl,Parma,Compressore Boge C15,Compressore,Manutenzione Preventiva,Alta,2022-10-04,Ferretti,2.1,Completato,317.45,9.0,13650,3,1,Completato
INT-0162,Rollon SpA,Milano,Pompa Flygt Serie 3,Pompa,Manutenzione Preventiva,Media,2024-01-13,Ansaloni,10.9,Completato,2542.16,4.6,5948,10,6,Completato
INT-0163,Datalogic SpA,Bologna,Variatore SEW Eurodrive,Trasmissione,Manutenzione Preventiva,Media,2023-05-11,Ansaloni,9.6,Completato,1062.26,2.1,3152,15,2,Completato
INT-0164,Datalogic SpA,Bologna,Pompa KSB Etanorm,Pompa,Manutenzione Correttiva,Alta,2024-04-15,Ansaloni,10.1,Completato,1850.82,4.0,8595,10,6,Completato
INT-0165,Marchesini Group,Bologna,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Preventiva,Media,2023-08-13,Monti,9.6,Completato,966.41,6.0,8265,12,5,Completato
INT-0166,Aeroquip Srl,Ferrara,Pompa Lowara FC,Pompa,Ispezione Periodica,Media,2023-03-25,Ansaloni,9.8,Completato,2341.09,7.3,12743,17,0,Completato
INT-0167,Termomeccanica Srl,Parma,Pompa Flygt Serie 3,Pompa,Manutenzione Preventiva,Bassa,2023-02-15,Ansaloni,6.9,Completato,2591.91,3.3,6133,13,6,Completato
INT-0168,Rollon SpA,Milano,Riduttore Bonfiglioli VF,Trasmissione,Manutenzione Correttiva,Media,2023-10-25,Ansaloni,7.7,Completato,1611.96,8.6,17305,2,1,Completato
INT-0169,Elcon Srl,Piacenza,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Correttiva,Media,2023-02-05,Monti,6.1,Completato,1928.39,3.5,5987,16,8,Completato
INT-0170,Cefla Srl,Imola,Refrigeratore Clivet WSAN,Refrigerazione,Ispezione Periodica,Bassa,2022-12-18,Ansaloni,6.0,Completato,642.68,1.7,2747,2,1,Completato
INT-0171,Bonfiglioli SpA,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Ispezione Periodica,Bassa,2022-06-18,Monti,11.2,Completato,2094.13,4.2,6301,3,0,Completato
INT-0172,Cefla Srl,Imola,Chiller Trane CGAM,Refrigerazione,Manutenzione Preventiva,Media,2024-01-26,Bernardini,7.8,Completato,616.72,11.5,16466,12,2,Completato
INT-0173,Rollon SpA,Milano,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Correttiva,Media,2022-07-21,Ansaloni,6.0,Completato,793.6,3.7,7043,2,1,Completato
INT-0174,Bonfiglioli SpA,Bologna,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Media,2023-09-22,Ansaloni,7.5,Completato,1908.14,7.3,11299,14,2,Completato
INT-0175,Tecnoinox Srl,Reggio Emilia,Compressore Kaeser SK25,Compressore,Manutenzione Correttiva,Media,2023-05-14,Ferretti,8.0,Completato,1966.14,4.8,6438,12,6,Completato
INT-0176,Coesia SpA,Bologna,Variatore SEW Eurodrive,Trasmissione,Ispezione Periodica,Media,2023-01-29,Ansaloni,11.6,Completato,1454.79,2.7,5513,1,5,Completato
INT-0177,Bonfiglioli SpA,Bologna,Pompa Flygt Serie 3,Pompa,Manutenzione Preventiva,Alta,2022-06-22,Ansaloni,9.6,Completato,1618.57,6.1,7824,0,3,Completato
INT-0178,Bonfiglioli SpA,Bologna,Riduttore Bonfiglioli VF,Trasmissione,Manutenzione Correttiva,Alta,2023-07-14,Ansaloni,3.4,Completato,1236.42,9.4,19018,11,8,Completato
INT-0179,Datalogic SpA,Bologna,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Preventiva,Media,2024-05-31,Monti,8.8,Completato,1801.14,10.4,13384,3,3,Completato
INT-0180,Coesia SpA,Bologna,Variatore SEW Eurodrive,Trasmissione,Guasto Urgente,Alta,2022-10-27,Ansaloni,4.2,Recidiva,807.17,9.8,17346,17,4,Recidiva
INT-0181,Cefla Srl,Imola,Compressore Kaeser SK25,Compressore,Manutenzione Preventiva,Media,2024-02-19,Ansaloni,10.3,Completato,1148.15,11.1,24336,4,2,Completato
INT-0182,Marchesini Group,Bologna,Cinghia trapezoidale SKF,Trasmissione,Guasto Urgente,Alta,2023-01-13,Ansaloni,6.0,Parziale,1407.48,5.7,10451,2,6,Parziale
INT-0183,Carpigiani SpA,Bologna,Compressore Ingersoll R55,Compressore,Ispezione Periodica,Bassa,2022-11-27,Ferretti,10.1,Completato,998.69,10.3,20555,12,3,Completato
INT-0184,Marchesini Group,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Preventiva,Bassa,2022-01-01,Ansaloni,11.9,Completato,1243.61,1.0,1826,14,0,Completato
INT-0185,Marchesini Group,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Correttiva,Media,2023-10-03,Monti,4.4,Completato,1982.48,1.6,2496,2,5,Completato
INT-0186,Datalogic SpA,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Guasto Urgente,Media,2022-12-18,Ansaloni,10.0,Completato,2767.78,3.0,3833,18,3,Completato
INT-0187,Rollon SpA,Milano,Gruppo Frigo Daikin EWAD,Refrigerazione,Guasto Urgente,Alta,2024-04-12,Bernardini,9.3,Completato,442.16,1.5,3008,3,5,Completato
INT-0188,Marchesini Group,Bologna,Compressore Atlas Copco GA55,Compressore,Manutenzione Correttiva,Media,2022-04-13,Ferretti,2.5,Completato,414.99,5.6,10765,4,6,Completato
INT-0189,Elcon Srl,Piacenza,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Correttiva,Media,2023-12-09,Monti,1.3,Completato,2384.03,3.3,6087,7,8,Completato
INT-0190,Marposs SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Guasto Urgente,Alta,2022-03-14,Bernardini,6.8,Completato,2739.34,7.9,15672,7,7,Completato
INT-0191,Frigomec Srl,Modena,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Alta,2022-02-10,Monti,11.1,Completato,2660.41,4.7,8849,15,1,Completato
INT-0192,Elcon Srl,Piacenza,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Alta,2023-06-08,Ansaloni,11.1,Completato,2730.13,5.4,8652,17,8,Completato
INT-0193,Marchesini Group,Bologna,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Preventiva,Bassa,2023-09-19,Ansaloni,7.7,Completato,921.27,4.1,6713,7,0,Completato
INT-0194,Coesia SpA,Bologna,Compressore Atlas Copco GA55,Compressore,Manutenzione Correttiva,Media,2022-05-10,Ferretti,9.2,Completato,2455.81,2.4,5167,16,8,Completato
INT-0195,IMA Industries,Bologna,Compressore Boge C15,Compressore,Guasto Urgente,Media,2024-05-29,Monti,7.2,Completato,1080.11,6.5,9509,18,1,Completato
INT-0196,Aeroquip Srl,Ferrara,Compressore Atlas Copco GA55,Compressore,Manutenzione Preventiva,Media,2024-05-28,Ferretti,1.4,Completato,2264.47,1.0,2062,7,0,Completato
INT-0197,Rollon SpA,Milano,Refrigeratore Clivet WSAN,Refrigerazione,Guasto Urgente,Bassa,2024-04-03,Bernardini,6.7,Completato,204.93,3.6,4600,11,1,Completato
INT-0198,Elcon Srl,Piacenza,Compressore Ingersoll R55,Compressore,Manutenzione Preventiva,Media,2023-09-30,Monti,3.7,Completato,1081.7,4.3,7538,0,5,Completato
INT-0199,Bonfiglioli SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Manutenzione Preventiva,Media,2024-01-15,Bernardini,4.4,Completato,638.13,0.8,1393,0,5,Completato
INT-0200,Datalogic SpA,Bologna,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Media,2024-02-05,Bernardini,1.9,Completato,339.97,8.7,11249,7,8,Completato
INT-0201,Marchesini Group,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Preventiva,Alta,2023-12-19,Ansaloni,10.2,Completato,967.4,5.5,11903,7,4,Completato
INT-0202,Pneumax Srl,Bergamo,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Media,2022-05-04,Monti,6.9,Completato,2703.81,2.1,4137,3,2,Completato
INT-0203,SCM Group,Rimini,Pompa Lowara FC,Pompa,Manutenzione Preventiva,Bassa,2023-12-30,Ansaloni,3.7,Completato,1047.62,1.5,3011,9,0,Completato
INT-0204,Cefla Srl,Imola,Compressore Boge C15,Compressore,Manutenzione Correttiva,Alta,2024-04-03,Ferretti,9.7,Completato,410.35,0.9,1443,14,8,Completato
INT-0205,Fluid System Srl,Modena,Chiller Trane CGAM,Refrigerazione,Ispezione Periodica,Alta,2022-07-22,Bernardini,10.9,Recidiva,1286.13,4.8,8785,2,4,Recidiva
INT-0206,Marchesini Group,Bologna,Compressore Boge C15,Compressore,Guasto Urgente,Media,2022-12-29,Ferretti,3.4,Completato,589.05,1.1,2336,13,6,Completato
INT-0207,Aeroquip Srl,Ferrara,Pompa KSB Etanorm,Pompa,Manutenzione Preventiva,Alta,2022-07-24,Ansaloni,8.1,Completato,2248.38,7.9,13421,17,7,Completato
INT-0208,Datalogic SpA,Bologna,Riduttore Bonfiglioli VF,Trasmissione,Guasto Urgente,Alta,2023-09-04,Monti,3.4,Completato,2516.48,6.0,11888,11,8,Completato
INT-0209,Aeroquip Srl,Ferrara,Compressore Ingersoll R55,Compressore,Guasto Urgente,Media,2024-02-22,Ferretti,12.0,Completato,676.8,11.7,15211,7,4,Completato
INT-0210,Elcon Srl,Piacenza,Quadro BT ABB,Quadro Elettrico,Manutenzione Correttiva,Media,2022-05-26,Monti,7.2,Completato,592.0,9.8,18596,18,0,Completato
INT-0211,Bonfiglioli SpA,Bologna,Cinghia trapezoidale SKF,Trasmissione,Guasto Urgente,Alta,2022-07-26,Ansaloni,9.9,Parziale,1006.86,1.5,2148,7,0,Parziale
INT-0212,Coesia SpA,Bologna,Quadro MCC Schneider,Quadro Elettrico,Guasto Urgente,Bassa,2022-04-14,Monti,4.7,Completato,957.48,9.4,19236,11,1,Completato
INT-0213,Coesia SpA,Bologna,Pompa Flygt Serie 3,Pompa,Manutenzione Correttiva,Bassa,2024-01-22,Ansaloni,8.6,Completato,426.39,8.6,15153,11,3,Completato
INT-0214,Carpigiani SpA,Bologna,Giunto elastico Flender,Trasmissione,Ispezione Periodica,Alta,2022-09-01,Ferretti,4.8,Completato,949.09,2.6,3947,7,1,Completato
INT-0215,Termomeccanica Srl,Parma,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Correttiva,Alta,2023-03-06,Monti,11.7,Completato,2485.98,3.4,4310,8,1,Completato
INT-0216,Bonfiglioli SpA,Bologna,Pompa Lowara FC,Pompa,Manutenzione Preventiva,Alta,2022-10-29,Ansaloni,1.2,Completato,790.27,10.0,19887,18,3,Completato
INT-0217,IMA Industries,Bologna,Compressore Boge C15,Compressore,Manutenzione Correttiva,Media,2022-02-01,Ferretti,5.7,Completato,1857.89,2.4,3060,2,5,Completato
INT-0218,Rollon SpA,Milano,Gruppo Frigo Carrier 30XA,Refrigerazione,Guasto Urgente,Alta,2022-02-20,Bernardini,5.3,Completato,1575.08,11.7,18828,17,8,Completato
INT-0219,Bonfiglioli SpA,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Preventiva,Alta,2022-03-25,Bernardini,6.2,Completato,394.18,1.5,3035,15,3,Completato
INT-0220,Elcon Srl,Piacenza,Pompa Flygt Serie 3,Pompa,Ispezione Periodica,Media,2022-09-27,Monti,5.8,Completato,796.45,1.5,2616,5,5,Completato
INT-0221,Aeroquip Srl,Ferrara,Riduttore Bonfiglioli VF,Trasmissione,Ispezione Periodica,Media,2024-05-10,Ansaloni,5.3,Completato,1501.42,1.5,2315,17,6,Completato
INT-0222,Samp SpA,Bologna,Pompa KSB Etanorm,Pompa,Manutenzione Correttiva,Media,2023-09-28,Ansaloni,2.6,Completato,2661.97,5.0,10269,1,8,Completato
INT-0223,Pneumax Srl,Bergamo,Chiller Trane CGAM,Refrigerazione,Ispezione Periodica,Media,2022-09-22,Bernardini,4.5,Completato,2057.72,2.0,3246,13,3,Completato
INT-0224,Termomeccanica Srl,Parma,Compressore Ingersoll R55,Compressore,Manutenzione Correttiva,Alta,2023-08-04,Ferretti,7.5,Completato,2142.79,10.4,17884,0,8,Completato
INT-0225,IMA Industries,Bologna,Compressore Atlas Copco GA55,Compressore,Manutenzione Preventiva,Alta,2023-09-16,Ferretti,8.5,Completato,1172.68,10.6,15519,15,7,Completato
INT-0226,Elcon Srl,Piacenza,Quadro BT ABB,Quadro Elettrico,Manutenzione Correttiva,Alta,2023-05-19,Monti,10.4,Completato,1942.8,11.1,23277,0,5,Completato
INT-0227,Datalogic SpA,Bologna,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Preventiva,Alta,2024-01-29,Ansaloni,6.3,Completato,1484.88,9.4,14296,13,1,Completato
INT-0228,Frigomec Srl,Modena,Compressore Kaeser SK25,Compressore,Manutenzione Preventiva,Bassa,2022-03-01,Ferretti,3.7,Completato,1321.54,2.1,4307,18,0,Completato
INT-0229,Frigomec Srl,Modena,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Preventiva,Media,2024-06-10,Bernardini,6.2,Completato,1579.63,6.3,11563,3,0,Completato
INT-0230,Frigomec Srl,Modena,Refrigeratore Clivet WSAN,Refrigerazione,Ispezione Periodica,Media,2022-10-03,Bernardini,8.2,Completato,1476.12,3.8,6028,5,3,Completato
INT-0231,Carpigiani SpA,Bologna,Pompa KSB Etanorm,Pompa,Guasto Urgente,Media,2022-09-16,Ansaloni,3.4,Completato,901.83,3.1,5605,9,4,Completato
INT-0232,Cefla Srl,Imola,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Media,2022-04-21,Ansaloni,6.3,Completato,994.69,6.4,11919,11,8,Completato
INT-0233,Aeroquip Srl,Ferrara,Pannello PLC Siemens S7,Quadro Elettrico,Ispezione Periodica,Bassa,2023-11-08,Monti,4.5,Completato,460.61,2.7,4636,7,0,Completato
INT-0234,Carpigiani SpA,Bologna,Pompa Lowara FC,Pompa,Guasto Urgente,Media,2023-10-16,Ansaloni,9.6,Completato,2545.75,5.2,10071,18,3,Completato
INT-0235,Frigomec Srl,Modena,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Alta,2022-12-10,Bernardini,8.2,Completato,684.53,3.9,6516,8,8,Completato
INT-0236,Datalogic SpA,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Preventiva,Bassa,2023-09-28,Monti,1.8,Completato,2499.24,4.8,8570,14,1,Completato
INT-0237,Cefla Srl,Imola,Compressore Ingersoll R55,Compressore,Guasto Urgente,Bassa,2023-04-14,Ferretti,2.6,Parziale,2425.71,1.1,2259,4,3,Parziale
INT-0238,Coesia SpA,Bologna,Compressore Ingersoll R55,Compressore,Manutenzione Preventiva,Media,2022-06-12,Ferretti,6.4,Completato,2156.91,4.1,5157,14,4,Completato
INT-0239,Termomeccanica Srl,Parma,Gruppo Frigo Daikin EWAD,Refrigerazione,Guasto Urgente,Media,2022-11-26,Bernardini,9.3,Recidiva,1524.41,5.4,9057,0,0,Recidiva
INT-0240,Carpigiani SpA,Bologna,Compressore Kaeser SK25,Compressore,Manutenzione Preventiva,Bassa,2022-10-25,Ferretti,6.0,Completato,1495.18,4.1,5341,16,4,Completato
INT-0241,Cefla Srl,Imola,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Preventiva,Bassa,2022-01-20,Bernardini,3.5,Completato,2057.9,4.4,9246,11,3,Completato
INT-0242,Marchesini Group,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Ispezione Periodica,Alta,2022-02-19,Bernardini,7.5,Completato,210.45,1.9,3631,1,6,Completato
INT-0243,IMA Industries,Bologna,Compressore Atlas Copco GA55,Compressore,Manutenzione Correttiva,Alta,2022-01-10,Ferretti,4.3,Completato,1879.73,5.6,7412,8,7,Completato
INT-0244,Cefla Srl,Imola,Quadro BT ABB,Quadro Elettrico,Manutenzione Correttiva,Media,2024-03-07,Monti,3.9,Completato,1502.96,6.4,11633,9,1,Completato
INT-0245,SCM Group,Rimini,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Preventiva,Alta,2022-04-24,Monti,10.2,Completato,1899.74,6.8,14350,15,5,Completato
INT-0246,Marchesini Group,Bologna,Compressore Atlas Copco GA55,Compressore,Guasto Urgente,Alta,2024-06-14,Ferretti,1.4,Parziale,870.34,10.9,20103,14,4,Parziale
INT-0247,Tecnoinox Srl,Reggio Emilia,Pompa Centrifuga Grundfos NB,Pompa,Guasto Urgente,Media,2024-06-18,Ansaloni,9.1,Completato,1093.53,0.6,803,5,5,Completato
INT-0248,Tecnoinox Srl,Reggio Emilia,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Correttiva,Media,2023-12-14,Bernardini,9.0,Completato,2749.87,3.6,5708,15,6,Completato
