ID_Intervento,Azienda,Città,Macchinario,Tipo_Macchinario,Tipo_Intervento,Priorità,Data_Intervento,Tecnico,Durata_Ore,Stato,Costo_Euro,Età_Macchinario_Anni,Ore_Utilizzo_Totali,Mesi_Senza_Intervento,Interventi_Ultimi_12_Mesi,Esito_Intervento
INT-0249,Coesia SpA,Bologna,Compressore Ingersoll R55,Compressore,Manutenzione Correttiva,Media,2024-05-08,Ansaloni,9.0,Parziale,2505.59,9.7,18220,5,6,Parziale
INT-0250,Bonfiglioli SpA,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Correttiva,Bassa,2023-08-14,Ansaloni,9.0,Completato,689.24,1.0,1461,10,0,Completato
INT-0251,Tecnoinox Srl,Reggio Emilia,Riduttore Bonfiglioli VF,Trasmissione,Manutenzione Correttiva,Media,2022-02-25,Ansaloni,1.1,Recidiva,2621.49,6.0,11182,12,2,Recidiva
INT-0252,Cefla Srl,Imola,Pompa Flygt Serie 3,Pompa,Manutenzione Preventiva,Alta,2023-02-17,Ferretti,10.0,Completato,294.42,9.1,13837,10,4,Completato
INT-0253,Pneumax Srl,Bergamo,Giunto elastico Flender,Trasmissione,Manutenzione Preventiva,Media,2022-01-01,Ansaloni,10.1,Completato,2233.65,5.6,7384,15,0,Completato
INT-0254,Marposs SpA,Bologna,Variatore SEW Eurodrive,Trasmissione,Manutenzione Correttiva,Alta,2023-09-07,Ansaloni,6.2,Completato,1867.49,11.4,17822,1,3,Completato
INT-0255,Pneumax Srl,Bergamo,Compressore Atlas Copco GA55,Compressore,Guasto Urgente,Media,2022-06-18,Ferretti,6.4,Completato,2315.4,0.5,777,9,8,Completato
INT-0256,Rollon SpA,Milano,Compressore Boge C15,Compressore,Manutenzione Correttiva,Alta,2024-02-15,Ferretti,5.6,Completato,2600.42,1.9,3899,6,7,Completato
INT-0257,IMA Industries,Bologna,Pompa Flygt Serie 3,Pompa,Ispezione Periodica,Media,2023-06-05,Ansaloni,9.6,Completato,2555.69,11.6,13970,1,8,Completato
INT-0258,Coesia SpA,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Guasto Urgente,Alta,2024-04-04,Bernardini,2.5,Completato,1202.67,6.3,9983,7,4,Completato
INT-0259,Cefla Srl,Imola,Pannello PLC Siemens S7,Quadro Elettrico,Ispezione Periodica,Alta,2022-07-02,Monti,6.5,Completato,1968.53,2.8,5107,9,5,Completato
INT-0260,Tecnoinox Srl,Reggio Emilia,Compressore Boge C15,Compressore,Manutenzione Correttiva,Alta,2022-04-20,Ferretti,1.3,Completato,475.29,8.3,17379,17,4,Completato
INT-0261,Fluid System Srl,Modena,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Correttiva,Alta,2022-02-03,Bernardini,4.9,Completato,1311.06,11.8,22224,4,0,Completato
INT-0262,Samp SpA,Bologna,Gruppo Frigo Daikin EWAD,Refrigerazione,Guasto Urgente,Media,2023-07-20,Bernardini,1.6,Completato,2102.78,8.5,10599,12,6,Completato
INT-0263,SCM Group,Rimini,Giunto elastico Flender,Trasmissione,Manutenzione Preventiva,Alta,2022-07-11,Monti,11.6,Completato,2079.42,9.2,16068,6,3,Completato
INT-0264,IMA Industries,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Preventiva,Bassa,2022-06-07,Ansaloni,11.2,Completato,1703.51,2.0,3567,8,0,Completato
INT-0265,Marposs SpA,Bologna,Pompa Lowara FC,Pompa,Manutenzione Correttiva,Alta,2023-02-18,Ansaloni,2.0,Completato,681.66,6.5,14020,16,1,Completato
INT-0266,SCM Group,Rimini,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Bassa,2023-11-16,Monti,4.8,Completato,733.75,11.4,20728,15,8,Completato
INT-0267,Datalogic SpA,Bologna,Compressore Boge C15,Compressore,Ispezione Periodica,Bassa,2024-04-02,Ferretti,6.6,Completato,1404.11,4.9,8527,9,0,Completato
INT-0268,Marposs SpA,Bologna,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Preventiva,Alta,2024-03-03,Bernardini,3.3,Completato,1944.3,2.4,5175,17,8,Completato
INT-0269,IMA Industries,Bologna,Gruppo Frigo Daikin EWAD,Refrigerazione,Manutenzione Preventiva,Alta,2022-09-15,Bernardini,7.1,Completato,1643.9,9.1,12319,14,5,Completato
INT-0270,Datalogic SpA,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Preventiva,Media,2024-02-03,Monti,7.4,Completato,1986.4,5.5,6692,3,8,Completato
INT-0271,Termomeccanica Srl,Parma,Quadro MCC Schneider,Quadro Elettrico,Guasto Urgente,Media,2023-07-01,Monti,3.4,Completato,2111.17,7.5,11111,14,6,Completato
INT-0272,Samp SpA,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Alta,2023-07-05,Monti,7.0,Completato,311.55,11.5,13928,17,2,Completato
INT-0273,SCM Group,Rimini,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Media,2022-02-25,Monti,10.4,Completato,2616.05,2.4,3409,8,3,Completato
INT-0274,Samp SpA,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Ispezione Periodica,Media,2022-08-29,Ansaloni,2.1,Completato,1765.08,3.4,4751,18,7,Completato
INT-0275,SCM Group,Rimini,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Correttiva,Bassa,2022-11-17,Monti,3.7,Completato,682.55,8.5,11495,18,5,Completato
INT-0276,Rollon SpA,Milano,Pannello PLC Siemens S7,Quadro Elettrico,Guasto Urgente,Alta,2022-03-25,Monti,10.3,Completato,2415.7,10.6,17626,11,4,Completato
INT-0277,Marchesini Group,Bologna,Variatore SEW Eurodrive,Trasmissione,Manutenzione Correttiva,Media,2022-08-06,Ansaloni,11.0,Completato,1580.34,8.9,18619,16,0,Completato
INT-0278,Samp SpA,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Preventiva,Media,2023-01-08,Ansaloni,6.5,Completato,1882.49,4.7,6689,18,4,Completato
INT-0279,Coesia SpA,Bologna,Variatore SEW Eurodrive,Trasmissione,Ispezione Periodica,Alta,2022-08-26,Ansaloni,1.7,Completato,1084.86,7.0,12360,4,7,Completato
INT-0280,Fluid System Srl,Modena,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Correttiva,Media,2024-05-04,Bernardini,9.2,Completato,1653.88,10.6,13142,10,1,Completato
INT-0281,Coesia SpA,Bologna,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Bassa,2024-03-22,Ansaloni,6.3,Completato,1723.45,6.4,10088,7,8,Completato
INT-0282,Cefla Srl,Imola,Gruppo Frigo Daikin EWAD,Refrigerazione,Manutenzione Preventiva,Media,2023-11-08,Bernardini,3.5,Completato,2286.39,6.4,9477,4,2,Completato
INT-0283,IMA Industries,Bologna,Pompa Flygt Serie 3,Pompa,Manutenzione Preventiva,Media,2023-06-09,Ansaloni,1.4,Completato,1636.57,7.9,12726,7,0,Completato
INT-0284,Fluid System Srl,Modena,Refrigeratore Clivet WSAN,Refrigerazione,Ispezione Periodica,Alta,2023-04-28,Ansaloni,10.5,Completato,543.94,7.4,13050,0,4,Completato
INT-0285,Rollon SpA,Milano,Variatore SEW Eurodrive,Trasmissione,Ispezione Periodica,Media,2023-01-23,Ansaloni,5.2,Completato,375.31,7.7,13173,5,5,Completato
INT-0286,SCM Group,Rimini,Giunto elastico Flender,Trasmissione,Guasto Urgente,Alta,2022-05-14,Ferretti,10.9,Completato,1546.86,2.5,5254,1,8,Completato
INT-0287,Carpigiani SpA,Bologna,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Media,2024-05-07,Ansaloni,8.7,Recidiva,345.79,8.5,13846,15,6,Recidiva
INT-0288,Marchesini Group,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Preventiva,Media,2023-08-15,Monti,6.7,Completato,1493.75,3.8,7891,13,4,Completato
INT-0289,Elcon Srl,Piacenza,Refrigeratore Clivet WSAN,Refrigerazione,Ispezione Periodica,Media,2022-10-10,Bernardini,11.9,Completato,1161.08,2.3,4258,8,4,Completato
INT-0290,SCM Group,Rimini,Pompa Flygt Serie 3,Pompa,Manutenzione Correttiva,Bassa,2024-02-05,Ansaloni,3.5,Completato,2210.06,3.4,5122,11,6,Completato
INT-0291,Coesia SpA,Bologna,Compressore Kaeser SK25,Compressore,Guasto Urgente,Media,2024-04-23,Ferretti,2.6,Completato,2598.34,9.7,17596,1,2,Completato
INT-0292,Rollon SpA,Milano,Compressore Atlas Copco GA55,Compressore,Manutenzione Correttiva,Media,2023-09-04,Ferretti,1.6,Completato,2184.21,1.4,1732,12,6,Completato
INT-0293,Coesia SpA,Bologna,Pompa Flygt Serie 3,Pompa,Manutenzione Correttiva,Media,2023-01-04,Ansaloni,3.6,Completato,80.78,2.7,5356,16,8,Completato
INT-0294,Coesia SpA,Bologna,Compressore Boge C15,Compressore,Manutenzione Preventiva,Media,2023-07-17,Ferretti,4.1,Recidiva,2336.96,8.2,13164,6,8,Recidiva
INT-0295,Frigomec Srl,Modena,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Preventiva,Media,2023-05-31,Monti,4.2,Completato,2655.88,5.7,9142,0,4,Completato
INT-0296,Cefla Srl,Imola,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Bassa,2023-05-09,Monti,2.3,Parziale,263.75,7.0,13789,10,7,Parziale
INT-0297,Datalogic SpA,Bologna,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Preventiva,Media,2022-12-17,Bernardini,1.8,Completato,2613.4,6.4,7742,8,3,Completato
INT-0298,Bonfiglioli SpA,Bologna,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Alta,2022-09-29,Monti,3.3,Completato,631.53,2.6,5060,6,7,Completato
INT-0299,Datalogic SpA,Bologna,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Media,2023-05-09,Ansaloni,5.1,Completato,937.93,1.9,2429,15,0,Completato
INT-0300,Aeroquip Srl,Ferrara,Pompa KSB Etanorm,Pompa,Guasto Urgente,Media,2022-02-03,Monti,6.5,Parziale,1150.91,5.1,9945,4,0,Parziale
INT-0301,Coesia SpA,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Correttiva,Alta,2022-09-23,Ansaloni,3.1,Completato,794.95,4.1,4954,6,6,Completato
INT-0302,Aeroquip Srl,Ferrara,Pompa Lowara FC,Pompa,Ispezione Periodica,Alta,2022-05-15,Ansaloni,11.8,Completato,1945.95,5.4,8743,11,5,Completato
INT-0303,IMA Industries,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Correttiva,Alta,2024-05-19,Monti,7.9,Completato,1532.43,2.8,5600,4,7,Completato
INT-0304,Tecnoinox Srl,Reggio Emilia,Pompa Lowara FC,Pompa,Manutenzione Correttiva,Media,2023-04-06,Ansaloni,9.2,Completato,786.57,5.1,9641,1,3,Completato
INT-0305,Frigomec Srl,Modena,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Preventiva,Media,2023-11-21,Ansaloni,6.6,Completato,2187.3,1.9,3928,6,8,Completato
INT-0306,Pneumax Srl,Bergamo,Compressore Ingersoll R55,Compressore,Guasto Urgente,Media,2022-03-15,Ferretti,1.9,Completato,1014.66,7.8,10489,5,5,Completato
INT-0307,Tecnoinox Srl,Reggio Emilia,Pannello PLC Siemens S7,Quadro Elettrico,Ispezione Periodica,Media,2022-01-24,Monti,2.4,Completato,718.19,3.6,5921,11,8,Completato
INT-0308,Aeroquip Srl,Ferrara,Compressore Kaeser SK25,Compressore,Manutenzione Preventiva,Media,2022-03-27,Ferretti,2.1,Completato,1761.24,1.6,3418,15,8,Completato
INT-0309,Termomeccanica Srl,Parma,Pompa Lowara FC,Pompa,Manutenzione Preventiva,Media,2022-11-30,Ansaloni,10.5,Parziale,1350.77,5.6,7427,16,2,Parziale
INT-0310,Samp SpA,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Guasto Urgente,Media,2022-12-22,Monti,6.3,Completato,697.79,7.3,12092,18,6,Completato
INT-0311,Termomeccanica Srl,Parma,Pompa Lowara FC,Pompa,Guasto Urgente,Media,2023-05-19,Ansaloni,11.4,Completato,1377.62,2.3,2784,16,2,Completato
INT-0312,Carpigiani SpA,Bologna,Pompa Lowara FC,Pompa,Guasto Urgente,Alta,2023-02-04,Ansaloni,10.1,Completato,680.01,6.8,9442,17,6,Completato
INT-0313,Termomeccanica Srl,Parma,Pompa KSB Etanorm,Pompa,Manutenzione Preventiva,Alta,2022-04-24,Ansaloni,8.0,Completato,1760.22,3.8,7383,8,6,Completato
INT-0314,Aeroquip Srl,Ferrara,Giunto elastico Flender,Trasmissione,Ispezione Periodica,Alta,2023-03-25,Ansaloni,9.0,Completato,713.24,2.2,4773,0,2,Completato
INT-0315,Marchesini Group,Bologna,Compressore Ingersoll R55,Compressore,Manutenzione Correttiva,Alta,2024-02-08,Ferretti,11.5,Completato,232.42,4.1,8197,11,7,Completato
INT-0316,Elcon Srl,Piacenza,Compressore Ingersoll R55,Compressore,Guasto Urgente,Bassa,2022-02-04,Ferretti,3.2,Completato,2080.08,9.9,20079,3,3,Completato
INT-0317,IMA Industries,Bologna,Variatore SEW Eurodrive,Trasmissione,Guasto Urgente,Alta,2022-07-23,Ansaloni,5.0,Completato,221.68,11.3,15352,1,8,Completato
INT-0318,SCM Group,Rimini,Compressore Kaeser SK25,Compressore,Manutenzione Preventiva,Media,2023-08-19,Ferretti,9.6,Parziale,1372.74,0.7,1396,18,1,Parziale
INT-0319,Marchesini Group,Bologna,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Preventiva,Media,2022-04-20,Monti,2.4,Completato,712.87,1.6,2909,1,0,Completato
INT-0320,Samp SpA,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Correttiva,Alta,2022-10-29,Monti,7.0,Completato,1413.05,8.4,13088,4,4,Completato
INT-0321,Coesia SpA,Bologna,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Preventiva,Alta,2022-09-27,Ansaloni,7.0,Completato,1315.09,3.7,7515,17,2,Completato
INT-0322,Cefla Srl,Imola,Pompa KSB Etanorm,Pompa,Manutenzione Correttiva,Alta,2024-02-24,Monti,7.1,Completato,1747.47,9.4,13524,2,8,Completato
INT-0323,Tecnoinox Srl,Reggio Emilia,Pompa Lowara FC,Pompa,Manutenzione Preventiva,Media,2023-08-08,Ansaloni,8.1,Completato,1136.99,1.0,2137,5,0,Completato
INT-0324,Bonfiglioli SpA,Bologna,Cinghia trapezoidale SKF,Trasmissione,Ispezione Periodica,Bassa,2023-10-17,Ansaloni,1.7,Completato,1597.81,7.5,9531,6,7,Completato
INT-0325,Rollon SpA,Milano,Quadro MCC Schneider,Quadro Elettrico,Ispezione Periodica,Bassa,2024-01-13,Monti,3.5,Completato,1128.1,6.6,12766,9,1,Completato
INT-0326,SCM Group,Rimini,Variatore SEW Eurodrive,Trasmissione,Manutenzione Correttiva,Media,2022-04-17,Ansaloni,2.8,Completato,570.68,6.9,12131,3,5,Completato
INT-0327,Elcon Srl,Piacenza,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Alta,2024-04-25,Ansaloni,9.0,Completato,1734.88,11.2,23547,17,5,Completato
INT-0328,Samp SpA,Bologna,Gruppo Frigo Daikin EWAD,Refrigerazione,Manutenzione Correttiva,Bassa,2023-06-15,Bernardini,2.5,Completato,2501.68,4.6,7601,12,0,Completato
INT-0329,Carpigiani SpA,Bologna,Quadro BT ABB,Quadro Elettrico,Guasto Urgente,Media,2022-04-07,Monti,1.4,Completato,1047.38,0.7,1415,8,8,Completato
INT-0330,Marchesini Group,Bologna,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Alta,2022-11-29,Bernardini,9.7,Completato,550.29,3.2,6435,2,6,Completato
INT-0331,IMA Industries,Bologna,Cinghia trapezoidale SKF,Trasmissione,Ispezione Periodica,Media,2022-05-04,Ansaloni,10.6,Parziale,696.67,1.4,1758,10,5,Parziale
INT-0332,Carpigiani SpA,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Correttiva,Alta,2023-02-07,Ansaloni,11.7,Completato,2127.73,4.2,7412,10,8,Completato
INT-0333,Cefla Srl,Imola,Compressore Kaeser SK25,Compressore,Guasto Urgente,Media,2023-03-21,Ferretti,9.5,Completato,434.62,2.2,3379,15,0,Completato
INT-0334,Marchesini Group,Bologna,Pompa KSB Etanorm,Pompa,Manutenzione Preventiva,Alta,2023-12-03,Ansaloni,11.2,Completato,323.7,7.0,15379,16,3,Completato
INT-0335,Rollon SpA,Milano,Pompa Lowara FC,Pompa,Ispezione Periodica,Media,2023-03-29,Ansaloni,7.9,Recidiva,1278.06,4.5,8349,9,2,Recidiva
INT-0336,Datalogic SpA,Bologna,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Preventiva,Media,2023-04-06,Bernardini,6.2,Completato,982.7,1.8,2258,4,4,Completato
INT-0337,Samp SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Guasto Urgente,Bassa,2022-09-19,Bernardini,2.9,Completato,852.52,6.8,12396,4,0,Completato
INT-0338,Aeroquip Srl,Ferrara,Compressore Ingersoll R55,Compressore,Manutenzione Preventiva,Bassa,2022-08-25,Ferretti,11.8,Completato,1463.23,1.3,2418,11,1,Completato
INT-0339,IMA Industries,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Ispezione Periodica,Alta,2023-06-27,Ferretti,4.4,Completato,1412.62,2.6,4421,14,8,Completato
INT-0340,Coesia SpA,Bologna,Compressore Boge C15,Compressore,Manutenzione Correttiva,Media,2024-04-14,Ferretti,11.9,Parziale,2648.05,7.7,11058,16,4,Parziale
INT-0341,Aeroquip Srl,Ferrara,Chiller Trane CGAM,Refrigerazione,Ispezione Periodica,Media,2022-08-21,Bernardini,5.6,Completato,1638.28,8.1,10431,12,8,Completato
INT-0342,Rollon SpA,Milano,Pannello PLC Siemens S7,Quadro Elettrico,Ispezione Periodica,Alta,2023-06-21,Monti,11.0,Completato,1249.77,2.9,3881,17,3,Completato
INT-0343,Marchesini Group,Bologna,Variatore SEW Eurodrive,Trasmissione,Manutenzione Correttiva,Bassa,2023-02-26,Ansaloni,4.3,Completato,2108.06,2.6,5302,4,0,Completato
INT-0344,Aeroquip Srl,Ferrara,Chiller Trane CGAM,Refrigerazione,Manutenzione Correttiva,Alta,2022-03-23,Bernardini,8.6,Completato,1376.36,0.8,1748,8,3,Completato
INT-0345,Cefla Srl,Imola,Giunto elastico Flender,Trasmissione,Manutenzione Preventiva,Alta,2022-01-16,Ansaloni,11.2,Completato,2664.54,2.6,4127,15,2,Completato
INT-0346,Datalogic SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Manutenzione Correttiva,Alta,2023-09-15,Bernardini,9.1,Completato,1114.62,10.5,17744,10,7,Completato
INT-0347,Tecnoinox Srl,Reggio Emilia,Pompa Centrifuga Grundfos NB,Pompa,Guasto Urgente,Bassa,2023-02-01,Ansaloni,6.7,Completato,1795.36,5.8,12051,7,8,Completato
INT-0348,Fluid System Srl,Modena,Refrigeratore Clivet WSAN,Refrigerazione,Guasto Urgente,Bassa,2022-05-26,Bernardini,6.1,Completato,1837.4,9.4,13967,5,6,Completato
INT-0349,Termomeccanica Srl,Parma,Riduttore Bonfiglioli VF,Trasmissione,Guasto Urgente,Bassa,2023-04-11,Ansaloni,2.0,Parziale,961.48,5.0,7617,0,2,Parziale
INT-0350,Coesia SpA,Bologna,Compressore Atlas Copco GA55,Compressore,Manutenzione Correttiva,Alta,2022-02-14,Ferretti,9.5,Completato,2561.33,7.8,10025,12,8,Completato
INT-0351,Marchesini Group,Bologna,Chiller Trane CGAM,Refrigerazione,Manutenzione Correttiva,Alta,2022-07-27,Bernardini,1.0,Completato,2161.88,5.3,8000,14,4,Completato
INT-0352,Carpigiani SpA,Bologna,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Media,2022-01-07,Ferretti,3.7,Completato,1568.77,7.5,12701,6,7,Completato
INT-0353,Samp SpA,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Guasto Urgente,Alta,2022-07-02,Bernardini,2.8,Completato,853.52,8.0,9893,1,4,Completato
INT-0354,Samp SpA,Bologna,Gruppo Frigo Daikin EWAD,Refrigerazione,Guasto Urgente,Alta,2023-03-14,Bernardini,10.3,Completato,256.6,11.2,14483,9,5,Completato
INT-0355,Bonfiglioli SpA,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Correttiva,Alta,2023-10-07,Bernardini,6.8,Completato,318.46,4.3,6939,6,3,Completato
INT-0356,Marposs SpA,Bologna,Pompa Lowara FC,Pompa,Manutenzione Correttiva,Alta,2023-09-17,Ansaloni,3.6,Parziale,870.13,11.2,20320,15,8,Parziale
INT-0357,SCM Group,Rimini,Compressore Atlas Copco GA55,Compressore,Manutenzione Preventiva,Alta,2022-08-06,Ferretti,1.1,Parziale,627.23,9.0,12665,13,6,Parziale
INT-0358,Marposs SpA,Bologna,Quadro MCC Schneider,Quadro Elettrico,Guasto Urgente,Alta,2024-05-02,Monti,2.9,Recidiva,979.0,9.3,12218,10,5,Recidiva
INT-0359,Tecnoinox Srl,Reggio Emilia,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Bassa,2022-02-27,Ansaloni,10.2,Parziale,894.21,6.0,10963,17,5,Parziale
INT-0360,Tecnoinox Srl,Reggio Emilia,Riduttore Bonfiglioli VF,Trasmissione,Ispezione Periodica,Alta,2023-01-20,Ansaloni,7.9,Completato,2371.34,9.7,20253,11,1,Completato
INT-0361,Elcon Srl,Piacenza,Gruppo Frigo Carrier 30XA,Refrigerazione,Guasto Urgente,Alta,2023-04-08,Monti,10.1,Completato,903.15,8.6,13024,1,4,Completato
INT-0362,Cefla Srl,Imola,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Alta,2022-07-14,Monti,4.7,Completato,1395.04,9.4,19865,14,8,Completato
INT-0363,Cefla Srl,Imola,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Media,2023-06-19,Monti,2.3,Completato,925.87,10.0,21380,4,3,Completato
INT-0364,Fluid System Srl,Modena,Riduttore Bonfiglioli VF,Trasmissione,Guasto Urgente,Media,2022-11-25,Ansaloni,3.2,Completato,859.46,1.7,3342,9,0,Completato
INT-0365,Samp SpA,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Guasto Urgente,Alta,2022-11-23,Monti,4.0,Completato,2645.72,2.2,3242,0,8,Completato
INT-0366,Marposs SpA,Bologna,Variatore SEW Eurodrive,Trasmissione,Manutenzione Preventiva,Media,2022-04-19,Ansaloni,5.2,Completato,314.25,7.6,11694,14,0,Completato
INT-0367,Elcon Srl,Piacenza,Gruppo Frigo Daikin EWAD,Refrigerazione,Ispezione Periodica,Bassa,2022-05-15,Bernardini,2.0,Completato,2262.39,4.3,6012,17,1,Completato
INT-0368,Pneumax Srl,Bergamo,Compressore Ingersoll R55,Compressore,Ispezione Periodica,Media,2023-11-13,Ferretti,4.6,Completato,2421.35,5.9,12669,4,4,Completato
INT-0369,Tecnoinox Srl,Reggio Emilia,Pompa Flygt Serie 3,Pompa,Manutenzione Correttiva,Media,2022-04-16,Ansaloni,5.5,Completato,2022.82,1.8,3021,5,4,Completato
INT-0370,IMA Industries,Bologna,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Preventiva,Media,2022-08-02,Monti,10.0,Completato,1687.44,5.1,8228,7,8,Completato
INT-0371,Rollon SpA,Milano,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Preventiva,Media,2022-04-10,Ansaloni,10.0,Completato,559.19,2.5,4674,18,7,Completato
INT-0372,Elcon Srl,Piacenza,Compressore Atlas Copco GA55,Compressore,Manutenzione Preventiva,Alta,2024-02-13,Ferretti,8.0,Completato,80.5,4.3,7933,1,1,Completato
INT-0373,Marchesini Group,Bologna,Gruppo Frigo Daikin EWAD,Refrigerazione,Manutenzione Preventiva,Media,2023-03-22,Bernardini,8.9,Completato,2569.12,7.6,12518,6,5,Completato
INT-0374,Termomeccanica Srl,Parma,Riduttore Bonfiglioli VF,Trasmissione,Ispezione Periodica,Bassa,2023-07-28,Ansaloni,10.0,Completato,1057.15,10.2,20935,1,5,Completato
